Artista,Stile Predominante,Numero di Opere
giacomo-balla,abstract art,6
giacomo-quarenghi,neoclassicism,8
giambattista-pittoni,rococo,17
gian-lorenzo-bernini,baroque,14
gianni-piacentino,minimalism,5
gil-teixeira-lopes,art informel,12
gilbert-stuart,romanticism,31
gilles-aillaud,contemporary realism,17
gillian-ayres,lyrical abstraction,16
gino-severini,cubism,13
giorgio-cavallon,abstract expressionism,11
giorgio-morandi,magic realism,45
giorgio-vasari,mannerism (late renaissance),59
giorgione,high renaissance,44
giovanni-anselmo,minimalism,2
giovanni-antonio-boltraffio,high renaissance,16
giovanni-battista-gaulli,baroque,30
giovanni-battista-piranesi,neoclassicism,1155
giovanni-battista-salvi-da-sassoferrato,baroque,27
giovanni-battista-tiepolo,rococo,81
giovanni-battista-torriglia,romanticism,22
giovanni-bellini,early renaissance,54
giovanni-boldini,realism,114
giovanni-domenico-tiepolo,rococo,58
giovanni-fattori,impressionism,30
giovanni-morassutti,neo-expressionism,1
giovanni-paolo-panini,baroque,3
giovanni-segantini,symbolism,24
giulia-lama,baroque,4
giuliana-lazzerini,contemporary realism,3
giulio-clovio,high renaissance,3
giulio-paolini,minimalism,1
giulio-rosati,academicism,2
giulio-turcato,art informel,28
giuseppe-abbati,realism,13
giuseppe-arcimboldo,mannerism (late renaissance),6
giuseppe-de-nittis,impressionism,28
giuseppe-maria-crespi,baroque,45
giuseppe-penone,art informel,3
giuseppe-pinot-gallizio,art informel,9
giuseppe-santomaso,art informel,25
glenn-brown,abstract expressionism,5
gogi-khutsishvili,abstract art,6
gohar-fermanyan,post-impressionism,3
goldstein-grigoriy,symbolism,9
goran-despotovski,abstract art,1
gosta-adrian-nilsson,cubism,8
gotthard-graubner,color field painting,19
gr-goire-michonze,naïve art (primitivism),29
graca-morais,neo-expressionism,19
grace-cossington-smith,post-impressionism,31
grace-pailthorpe,surrealism,7
graham-bell,realism,10
graham-sutherland,neo-romanticism,36
grandma-moses,naïve art (primitivism),38
grant-wood,impressionism,18
granville-redmond,impressionism,5
graydon-parrish,contemporary realism,9
grazia-varisco,minimalism,3
gregoire-boonzaier,impressionism,65
gregorio-lopes,northern renaissance,15
gregorio-sciltian,art deco,3
gregorio-vardanega,abstract art,2
greta-freist,magic realism,10
grigor-khanjyan,expressionism,5
grigoriy-myasoyedov,realism,24
guan-zilan,post-impressionism,9
guercino,baroque,58
guido-molinari,abstract expressionism,5
guido-reni,baroque,124
guilherme-de-santa-rita,cubism,2
guillaume-seignac,academicism,34
guity-novin,expressionism,2
gunter-umberg,minimalism,7
gunther-forg,color field painting,17
gunther-gerzso,surrealism,7
guntis-strupulis,surrealism,1
gustaf-wappers,romanticism,4
gustav-adolf-mossa,symbolism,9
gustav-bauernfeind,romanticism,4
gustav-klimt,art nouveau (modern),70
gustave-boulanger,academicism,8
gustave-buchet,cubism,15
gustave-caillebotte,impressionism,212
gustave-claude-etienne-courtois,academicism,7
gustave-courbet,realism,255
gustave-de-smet,expressionism,35
gustave-dore,romanticism,755
gustave-loiseau,post-impressionism,258
gustave-moreau,symbolism,129
gustave-singier,lyrical abstraction,44
gustavo-foppiani,surrealism,17
gustavo-ramirez,abstract art,5
guy-rose,impressionism,120
gwen-john,post-impressionism,41
ha-chong-hyun,minimalism,10
haddon-sundbloom,impressionism,3
hale-woodruff,abstract art,4
halonen-pekka,realism,47
hannelore-baron,abstract expressionism,17
hanno-karlhuber,magic realism,10
hans-am-ende,impressionism,10
hans-andersen-brendekilde,realism,54
hans-baldung,northern renaissance,90
hans-bellmer,surrealism,14
hans-gude,romanticism,47
hans-heysen,realism,36
hans-hoffmann,northern renaissance,16
hans-hofmann,abstract expressionism,75
hans-holbein-the-elder,northern renaissance,23
hans-holbein-the-younger,northern renaissance,132
hans-memling,northern renaissance,161
hans-richter,abstract art,6
hans-von-aachen,mannerism (late renaissance),34
haralampi-tachev,art nouveau (modern),13
harald-sohlberg,neo-romanticism,19
haroutiun-galentz,cubism,3
harry-clarke,art nouveau (modern),69
harry-phelan-gibb,post-impressionism,12
hassel-smith,abstract expressionism,13
hedda-sterne,abstract expressionism,9
heinrich-campendonk,expressionism,16
heinrich-lefler,art nouveau (modern),28
heinrich-schonfeld,baroque,19
helen-augusta-hamburger,romanticism,4
helen-dahm,expressionism,20
helen-frankenthaler,abstract expressionism,36
helene-de-beauvoir,post-impressionism,10
helene-guinepied,art nouveau (modern),4
helene-schjerfbeck,expressionism,37
helmut-sturm,art informel,15
hendrick-avercamp,baroque,82
hendrick-cornelisz-vroom,baroque,13
hendrick-goltzius,mannerism (late renaissance),28
hendrick-terbrugghen,baroque,12
henri-catargi,impressionism,15
henri-de-toulouse-lautrec,post-impressionism,199
henri-edmond-cross,post-impressionism,20
henri-fantin-latour,realism,255
henri-gervex,impressionism,14
henri-laurens,cubism,12
henri-le-fauconnier,post-impressionism,12
henri-martin,impressionism,53
henri-matisse,expressionism,233
henri-michaux,art informel,4
henri-motte,academicism,5
henri-regnault,romanticism,19
henri-rousseau,naïve art (primitivism),93
henrique-pousao,realism,13
henry-arthur-mcardle,romanticism,4
henry-fuseli,romanticism,8
henry-herbert-la-thangue,impressionism,55
henry-moore-ra,realism,6
henry-ossawa-tanner,realism,57
henry-raeburn,romanticism,60
henry-scott-tuke,impressionism,97
henry-tonks,impressionism,24
henry-villierme,neo-expressionism,13
henry-william-banks-davis,romanticism,16
henryk-rodakowski,romanticism,38
henryk-siemiradzki,academicism,51
heorhiy-narbut,art nouveau (modern),108
herbert-zangs,minimalism,5
hercules-seghers,baroque,18
herman-de-vries,minimalism,5
hermann-david-salomon-corrodi,romanticism,4
hermann-hendrich,romanticism,7
herve-telemaque,pop art,4
heywood-hardy,romanticism,21
hieronymus-bosch,northern renaissance,183
hilly-van-eerten,abstract art,7
hilma-af-klint,abstract art,17
hiro-yamagata,pop art,72
hiroshige,ukiyo-e,161
hoca-ali-riza,impressionism,30
homer-watson,realism,12
honore-daumier,realism,98
horace-pippin,naïve art (primitivism),43
horace-trenerry,impressionism,17
horace-vernet,romanticism,17
horia-bernea,expressionism,23
horia-damian,art informel,10
houssam-eddine-hafdi,pop art,1
hovhannes-zardaryan,expressionism,2
hovsep-pushman,symbolism,4
howard-arkley,pop art,13
howard-hodgkin,abstract expressionism,20
howard-mehring,abstract expressionism,12
howard-pyle,romanticism,77
hrasarkos,expressionism,2
huang-yongyu,expressionism,20
hubert-robert,rococo,10
hubertine-heijermans,realism,17
hugo-simberg,symbolism,19
hugo-van-der-goes,northern renaissance,34
hugues-folloppe,abstract expressionism,1
huguette-arthur-bertrand,art informel,1
huseyin-avni-lifij,realism,7
husnu-konuk,neo-expressionism,1
hyacinthe-rigaud,baroque,20
ian-bent,contemporary realism,3
ian-burn,color field painting,2
ian-davenport,color field painting,10
ibrahim-calli,impressionism,6
ibrahim-salahi,surrealism,7
il-sodoma,high renaissance,36
ilka-gedo,expressionism,24
ilse-dhollander,abstract expressionism,2
ilya-isupov,contemporary realism,7
ilya-mashkov,post-impressionism,78
ilya-repin,realism,486
imi-knoebel,minimalism,9
ioannis-altamouras,realism,18
ion-alin-gheorghiu,abstract art,14
ion-andreescu,impressionism,19
ion-bitzan,art informel,7
ion-nicodim,art informel,5
ion-pacea,post-impressionism,24
ion-theodorescu-sion,post-impressionism,30
ion-tuculescu,expressionism,34
iosif-iser,expressionism,29
ipolit-strambu,impressionism,23
ippolito-caffi,realism,18
irma-stern,post-impressionism,38
isaac-fuller,baroque,8
isaac-levitan,realism,412
isaac-van-ostade,baroque,18
ismail-shammout,magic realism,12
istvan-farkas,expressionism,22
istvan-ilosvai-varga,expressionism,18
istvan-molnar,abstract art,18
istvan-nagy,post-impressionism,30
ito-jakuchu,ukiyo-e,33
ito-shinsui,ukiyo-e,6
iurie-matei,magic realism,10
ivan-aivazovsky,romanticism,565
ivan-albright,magic realism,51
ivan-bilibin,art nouveau (modern),205
ivan-eyre,contemporary realism,7
ivan-generalic,naïve art (primitivism),95
ivan-grohar,impressionism,22
ivan-kramskoy,realism,156
ivan-milev,art nouveau (modern),6
ivan-mrkvicka,impressionism,17
ivan-nikitin,baroque,19
ivan-rutkovych,baroque,15
ivan-serpa,art informel,14
ivan-shishkin,realism,521
ivan-tovar,surrealism,13
ivan-valentyn-zadorozhny,naïve art (primitivism),4
ivan-vladimirov,realism,48
j-c-leyendecker,art nouveau (modern),22
j-e-h-macdonald,art nouveau (modern),25
jacek-malczewski,art nouveau (modern),69
jacek-yerka,surrealism,258
jack-bush,color field painting,35
jack-tworkov,abstract expressionism,19
jackson-pollock,abstract expressionism,30
jacob-collins,contemporary realism,9
jacob-jordaens,baroque,124
jacob-lawrence,cubism,4
jacob-ochtervelt,baroque,30
jacob-van-ruisdael,baroque,20
jacob-van-strij,neoclassicism,42
jacoba-van-heemskerck,expressionism,10
jacopo-bassano,mannerism (late renaissance),39
jacopo-bellini,early renaissance,40
jacopo-pontormo,mannerism (late renaissance),104
jacqueline-hick,expressionism,5
jacques-blanchard,realism,1
jacques-busse,art informel,9
jacques-daret,northern renaissance,6
jacques-h-rold,surrealism,26
jacques-le-marechal,surrealism,11
jacques-lipchitz,cubism,1
jacques-louis-david,neoclassicism,77
jacques-stella,baroque,12
jacques-sterenberg,expressionism,13
jacques-villon,cubism,27
jagdish-swaminathan,surrealism,22
jakub-schikaneder,realism,7
james-archer,romanticism,41
james-barry,neoclassicism,12
james-bishop,minimalism,10
james-campbell,romanticism,11
james-campbell-noble,impressionism,15
james-charles,impressionism,32
james-ensor,expressionism,19
james-hamilton,romanticism,19
james-lee-byars,minimalism,3
james-lesesne-wells,expressionism,16
james-mcneill-whistler,impressionism,65
james-rosenquist,pop art,39
james-tissot,realism,203
james-ward,romanticism,93
james-webb,romanticism,114
james-weeks,neo-expressionism,12
jamie-wyeth,contemporary realism,113
jan-brueghel-the-elder,baroque,16
jan-cossiers,baroque,17
jan-cox,expressionism,10
jan-czeslaw-pyrgies,neo-romanticism,6
jan-dirksz-both,baroque,24
jan-groth,minimalism,13
jan-joest,northern renaissance,20
jan-lievens,baroque,16
jan-luyken,baroque,49
jan-matejko,romanticism,174
jan-miense-molenaer,baroque,30
jan-provoost,northern renaissance,12
jan-siberechts,baroque,18
jan-sluyters,expressionism,15
jan-steen,baroque,128
jan-toorop,symbolism,17
jan-van-eyck,northern renaissance,64
jan-van-goyen,baroque,9
jan-van-hemessen,northern renaissance,27
jane-frank,abstract expressionism,11
jane-sutherland,impressionism,11
janet-fish,contemporary realism,25
jankel-adler,cubism,11
janos-mattis-teutsch,abstract art,60
janos-tornyai,post-impressionism,9
jarnefelt-eero,realism,45
jaroslav-keluc,impressionism,32
jaroslav-serpan,art informel,12
jasper-johns,pop art,21
javad-hamidi,expressionism,7
javier-carlos-ibarrrondo-los-arcos,realism,4
jay-defeo,abstract expressionism,18
jean-alexandru-steriadi,impressionism,16
jean-andre-rixens,neo-romanticism,7
jean-arp,surrealism,24
jean-auguste-dominique-ingres,neoclassicism,260
jean-baptiste-carpeaux,romanticism,14
jean-baptiste-greuze,rococo,15
jean-baptiste-oudry,rococo,29
jean-baptiste-simeon-chardin,rococo,61
jean-baptiste-van-loo,rococo,29
jean-baptiste-vanmour,baroque,2
jean-benoit,surrealism,9
jean-beraud,impressionism,11
jean-claude-silbermann,surrealism,9
jean-cocteau,expressionism,71
jean-david,surrealism,24
jean-degottex,minimalism,32
jean-dubuffet,expressionism,9
jean-dupas,art deco,19
jean-etienne-liotard,rococo,71
jean-fautrier,art informel,14
jean-fouquet,northern renaissance,59
jean-francois-millet,realism,129
jean-helion,expressionism,23
jean-hey,northern renaissance,21
jean-honore-fragonard,rococo,60
jean-hugo,naïve art (primitivism),10
jean-jansem,expressionism,3
jean-joseph-xavier-bidauld,neoclassicism,44
jean-le-moal,art informel,17
jean-lecomte-du-nouy,romanticism,2
jean-leon-gerome,academicism,45
jean-leon-gerome-ferris,romanticism,3
jean-marc-nattier,rococo,16
jean-messagier,lyrical abstraction,28
jean-metzinger,cubism,23
jean-michel-atlan,art informel,18
jean-michel-basquiat,neo-expressionism,133
jean-miotte,art informel,19
jean-paul-laurens,academicism,5
jean-paul-lemieux,expressionism,28
jean-paul-riopelle,abstract expressionism,22
jean-pierre-raynaud,minimalism,2
jean-rene-bazaine,art informel,25
jeanne-hebuterne,expressionism,2
jeffrey-smart,contemporary realism,50
jehan-georges-vibert,academicism,25
jenaro-perez-villaamil,romanticism,7
jenny-saville,neo-expressionism,8
jeremy-henderson,lyrical abstraction,6
jeremy-moon,minimalism,1
jerg-ratgeb,northern renaissance,16
jerome-martin-langlois,neoclassicism,8
jerry-w-mcdaniel,pop art,7
jerzy-nowosielski,neo-expressionism,3
jessie-willcox-smith,romanticism,22
jim-dine,pop art,6
jimmy-ernst,abstract expressionism,38
jindrich-styrsky,surrealism,23
jiro-yoshihara,minimalism,5
jo-baer,minimalism,13
joachim-bandau,minimalism,11
joachim-patinir,northern renaissance,21
joachim-wtewael,northern renaissance,23
joan-brown,neo-expressionism,6
joan-brull,symbolism,35
joan-hernandez-pijuan,art informel,30
joan-miro,surrealism,83
joan-mitchell,abstract expressionism,62
joan-ponc,surrealism,55
joan-snyder,abstract expressionism,21
joao-vieira,expressionism,2
joaqu-n-sorolla,impressionism,365
joaquim-rodrigo,naïve art (primitivism),15
joaquin-agrasot,realism,7
joaquin-manuel-fernandez-cruzado,romanticism,7
joaquin-torres-garcia,abstract art,14
jock-macdonald,abstract expressionism,4
joe-goode,abstract expressionism,19
joe-tilson,pop art,7
johan-christian-dahl,romanticism,16
johan-hendrik-weissenbruch,realism,82
johan-jongkind,impressionism,12
johann-anton-de-peters,rococo,12
johann-koler,romanticism,11
johannes-itten,abstract art,23
johannes-jan-schoonhoven,minimalism,24
johannes-moreelse,baroque,7
johannes-sveinsson-kjarval,expressionism,11
johannes-vermeer,baroque,34
john-altoon,abstract expressionism,6
john-atkinson-grimshaw,romanticism,105
john-austen,art deco,57
john-bauer,art nouveau (modern),51
john-brack,expressionism,11
john-bradley,naïve art (primitivism),18
john-bratby,expressionism,97
john-cage,abstract expressionism,22
john-collier,romanticism,15
john-constable,romanticism,110
john-crome,romanticism,56
john-currin,contemporary realism,4
john-duncan,symbolism,34
john-duncan-fergusson,fauvism,19
john-everett-millais,realism,54
john-ferren,abstract expressionism,22
john-flaxman,neoclassicism,120
john-frederick-herring-sr,romanticism,31
john-frederick-kensett,realism,1
john-frederick-lewis,romanticism,23
john-french-sloan,art nouveau (modern),2
john-gibson,neoclassicism,4
john-glover,romanticism,21
john-henderson,realism,5
john-henry-twachtman,impressionism,222
john-hoppner,romanticism,50
john-hoyland,abstract expressionism,34
john-jackson,rococo,93
john-lavery,impressionism,16
john-lee,romanticism,4
john-leech,romanticism,71
john-lewis-krimmel,romanticism,13
john-marin,expressionism,5
john-martin,romanticism,27
john-mccracken,abstract expressionism,5
john-mclaughlin,minimalism,25
john-miller,contemporary realism,68
john-o-connor,realism,16
john-peter-russell,impressionism,7
john-pettie,romanticism,39
john-riley,baroque,80
john-roddam-spencer-stanhope,romanticism,14
john-ruskin,romanticism,122
john-russell,rococo,36
john-simpson,neoclassicism,9
john-singer-sargent,realism,464
john-singleton-copley,neoclassicism,152
john-stuart-ingle,contemporary realism,2
john-trumbull,neoclassicism,5
john-varley,romanticism,17
john-varley-ii,realism,16
john-vassos,art deco,37
john-william-godward,neoclassicism,132
john-william-waterhouse,romanticism,72
john-wilson-carmichael,romanticism,36
jorg-immendorff,neo-expressionism,17
jorge-camacho,surrealism,10
jorge-castillo,surrealism,9
jorge-martins,abstract art,5
jose-campeche,rococo,8
jose-clemente-orozco,expressionism,6
jose-de-almada-negreiros,art deco,12
jose-de-guimaraes,pop art,16
jose-escada,surrealism,16
jose-ferraz-de-almeida-junior,realism,47
jose-guerrero,abstract expressionism,30
jose-gutierrez-solana,expressionism,59
jose-higuera,realism,6
jose-luzan,baroque,5
jose-malhoa,realism,13
jose-manuel-capuletti,surrealism,13
jose-maria-velasco,realism,148
jose-pancetti,expressionism,18
josef-albers,abstract art,7
josef-capek,expressionism,75
josef-herman,expressionism,15
josef-sima,abstract art,15
josefa-de-obidos,baroque,18
joseph-anton-koch,neoclassicism,54
joseph-binder,academicism,4
joseph-decamp,impressionism,36
joseph-ducreux,rococo,11
joseph-farquharson,realism,79
joseph-lorusso,contemporary realism,17
joseph-marie-vien,neoclassicism,11
joseph-marioni,color field painting,16
joseph-wright,romanticism,53
joshua-johnson,naïve art (primitivism),23
joshua-reynolds,rococo,192
joy-hester,expressionism,30
jozef-chelmonski,realism,14
jozef-mehoffer,art nouveau (modern),15
jozef-pankiewicz,post-impressionism,22
jozsef-rippl-ronai,art nouveau (modern),14
juan-bautista-maino,baroque,7
juan-carreno-de-miranda,baroque,26
juan-de-valdes-leal,baroque,15
juan-gris,cubism,74
juan-van-der-hamen,baroque,76
judith-leyster,baroque,15
judy-chicago,minimalism,11
jules-alexandre-grun,post-impressionism,17
jules-bastien-lepage,realism,4
jules-breton,realism,77
jules-dupre,realism,12
jules-frederic-ballavoine,academicism,2
jules-joseph-lefebvre,academicism,10
jules-lefranc,naïve art (primitivism),31
jules-pascin,expressionism,14
jules-perahim,surrealism,56
julian-alden-weir,impressionism,59
julian-ashton,impressionism,26
julian-falat,impressionism,7
julian-schnabel,neo-expressionism,47
julie-mehretu,abstract art,15
julio-galan,surrealism,20
julio-gonzalez,cubism,5
julio-pomar,abstract expressionism,13
julio-resende,expressionism,29
julio-romero-de-torres,realism,17
julius-bissier,art informel,18
julius-evola,abstract art,1
julius-leblanc-stewart,realism,54
jurgen-partenheimer,abstract expressionism,10
juriaen-pool,baroque,4
juriaen-van-streeck,baroque,7
jury-annenkov,expressionism,25
jusepe-de-ribera,baroque,16
justus-van-gent,early renaissance,9
jyoti-bhatt,naïve art (primitivism),5
karel-appel,art informel,19
karl-benjamin,color field painting,3
karl-bodmer,romanticism,97
karl-bryullov,romanticism,154
karl-edvard-diriks,impressionism,14
karl-knaths,cubism,30
karl-lessing,romanticism,19
karl-otto-gotz,art informel,14
karl-schmidt-rottluff,expressionism,19
karl-schrag,expressionism,42
karlo-zvirynsky,abstract art,15
karoly-ferenczy,impressionism,28
kasramvd,surrealism,14
kateryna-bilokur,naïve art (primitivism),54
kathe-kollwitz,expressionism,34
katsuhito-nishikawa,minimalism,10
katsushika-hokusai,ukiyo-e,250
kay-nielsen,art nouveau (modern),43
kay-sage,surrealism,19
kazimierz-mikulski,surrealism,7
kazimir-malevich,cubism,29
kazuaki-tanahashi,lyrical abstraction,15
kazuo-nakamura,abstract expressionism,27
kazuo-shiraga,lyrical abstraction,29
kees-van-dongen,fauvism,13
keisai-eisen,ukiyo-e,54
keith-haring,pop art,22
kenneth-price,pop art,3
kent-bellows,contemporary realism,6
kenzo-okada,abstract expressionism,16
kerry-james-marshal,expressionism,13
kexin-di,contemporary realism,18
khimich-yuriy-ivanovich,fauvism,14
kim-tschang-yeul,art informel,15
kimon-loghi,impressionism,21
kishio-suga,minimalism,4
kit-williams,surrealism,29
kitagawa-utamaro,ukiyo-e,118
klavdy-lebedev,realism,8
kluza,naïve art (primitivism),2
kmetty-janos,cubism,16
knud-baade,romanticism,11
koloman-moser,art nouveau (modern),153
konrad-klapheck,pop art,10
konrad-lueg,pop art,2
konrad-witz,northern renaissance,18
konrad-zuse,expressionism,8
konstantin-bogaevsky,symbolism,100
konstantin-dmitriyevich-flavitsky,romanticism,4
konstantin-ivanovich-gorbatov,post-impressionism,10
konstantin-korovin,impressionism,250
konstantin-makovsky,romanticism,241
konstantin-somov,symbolism,172
konstantin-vasilyev,symbolism,54
konstantin-yuon,post-impressionism,87
konstantinos-maleas,post-impressionism,33
konstantinos-parthenis,expressionism,19
konstantinos-volanakis,realism,39
kosakov-dimitrij,abstract art,13
kuno-gonschior,minimalism,2
kurt-schwitters,expressionism,1
kuzma-petrov-vodkin,symbolism,210
l-s-lowry,naïve art (primitivism),79
lady-frieda-harris,symbolism,22
lajos-gulacsy,symbolism,14
lajos-kassak,abstract art,3
lajos-tihanyi,expressionism,11
landon-mackenzie,neo-expressionism,2
larry-bell,minimalism,6
larry-zox,lyrical abstraction,16
lasar-segall,expressionism,11
laslett-john-pott,romanticism,16
laszlo-mednyanszky,impressionism,31
laszlo-moholy-nagy,expressionism,2
laura-knight,impressionism,31
lavinia-fontana,mannerism (late renaissance),21
lawren-harris,abstract art,16
le-corbusier,cubism,38
le-nain-brothers,baroque,43
le-pho,post-impressionism,46
lech-jankowski,magic realism,11
lee-bontecou,abstract expressionism,40
lee-krasner,abstract expressionism,21
lee-ufan,minimalism,15
leiko-ikemura,neo-expressionism,6
lemuel-francis-abbott,rococo,40
lennart-rodhe,art informel,7
leo-leuppi,cubism,6
leo-schnug,art nouveau (modern),21
leo-steel,realism,4
leo-valledor,abstract expressionism,1
leon-arthur-tutundjian,surrealism,20
leon-bakst,art nouveau (modern),101
leon-battista-alberti,early renaissance,1
leon-berkowitz,color field painting,31
leon-bonnat,academicism,15
leon-cogniet,romanticism,16
leon-dabo,impressionism,7
leon-kroll,post-impressionism,12
leon-spilliaert,symbolism,7
leon-tarasewicz,minimalism,2
leon-underwood,expressionism,4
leon-wyczolkowski,realism,17
leonardo-alenza,romanticism,1
leonardo-da-vinci,high renaissance,144
leonid-sejka,surrealism,2
leonor-fini,magic realism,6
leonora-carrington,surrealism,29
leopold-survage,cubism,15
leroy-neiman,impressionism,12
lesser-ury,impressionism,49
lev-lagorio,romanticism,54
lex-blaakman,realism,2
li-yuan-chia,minimalism,4
ligia-macovei,expressionism,49
lilia-carrillo,art informel,13
lilla-cabot-perry,impressionism,88
lin-fengmian,expressionism,13
linde-martin,abstract art,20
lionel-noel-royer,academicism,1
lo-scheggia,early renaissance,32
lois-mailou-jones,expressionism,8
lorenzo-lotto,high renaissance,109
lorenzo-monaco,early renaissance,9
lorser-feitelson,surrealism,4
louay-kayyali,expressionism,23
louis-cane,color field painting,17
louis-comfort-tiffany,art nouveau (modern),124
louis-janmot,romanticism,12
louis-marcoussis,cubism,47
louis-philippe-crepin,romanticism,5
louis-schanker,abstract expressionism,10
louis-valtat,fauvism,26
louis-vivin,naïve art (primitivism),29
louis-wain,art nouveau (modern),59
louisa-matthiasdottir,expressionism,39
louise-abbema,impressionism,32
louise-elisabeth-vigee-le-brun,rococo,64
louise-moillon,baroque,14
lourdes-castro,pop art,23
lovis-corinth,impressionism,69
lubo-kristek,surrealism,8
luc-olivier-merson,symbolism,60
luca-giordano,baroque,105
luca-signorelli,high renaissance,57
lucas-cranach-the-elder,northern renaissance,221
lucas-van-leyden,northern renaissance,61
lucia-demetriade-balacescu,post-impressionism,21
lucian-freud,expressionism,239
lucian-grigorescu,impressionism,27
luciano-bartolini,art informel,41
lucy-ivanova,neo-expressionism,10
ludovic-alleaume,impressionism,4
ludwig-knaus,realism,22
ludwig-manzel,realism,1
ludwiga-nesterovich,realism,13
luigi-guardigli,art informel,20
luigi-russolo,expressionism,6
luigi-serafini,surrealism,10
luis-de-madrazo-y-kuntz,romanticism,9
luis-dourdil,expressionism,12
luis-feito,art informel,37
luis-paret-y-alcazar,rococo,26
luke-fildes,academicism,26
lyman-kipp,minimalism,5
lynd-ward,expressionism,58
lynda-benglis,minimalism,2
lyonel-feininger,cubism,28
lyubov-popova,cubism,14
m-c-escher,surrealism,113
m-f-husain,cubism,18
m-h-maxy,cubism,26
maarten-de-vos,northern renaissance,32
mabuse,northern renaissance,56
maerten-van-heemskerck,mannerism (late renaissance),59
mahmoud-saiid,expressionism,66
malcolm-morley,expressionism,9
man-ray,cubism,13
mana-parpulova,expressionism,7
manabu-mabe,abstract expressionism,23
manoucher-yektai,abstract expressionism,8
manuel-cargaleiro,abstract expressionism,7
manuel-felguerez,abstract art,12
manuel-neri,neo-expressionism,6
manuel-rivera,art informel,22
manuela-sambo,expressionism,19
marc-chagall,naïve art (primitivism),651
marc-horowitz,abstract expressionism,24
marc-vaux,minimalism,5
marcel-barbeau,abstract expressionism,9
marcel-duchamp,expressionism,16
marcel-janco,expressionism,14
marcel-marien,surrealism,10
marcelino-vespeira,surrealism,11
marcelle-cahn,abstract art,6
marcelle-loubchansky,art informel,17
marcello-bacciarelli,baroque,11
marcia-hafif,minimalism,11
marcos-zapata,baroque,5
marcus-larson,romanticism,18
marcus-stone,romanticism,31
marevna-marie-vorobieff,cubism,36
margaret-macdonald,art nouveau (modern),1
margareta-sterian,expressionism,39
margit-selska,post-impressionism,19
maria-fortuny,romanticism,77
maria-helena-vieira-da-silva,surrealism,4
maria-lai,post-impressionism,2
maria-primachenko,naïve art (primitivism),106
mariam-aslamazian,naïve art (primitivism),3
marianne-north,impressionism,13
marianne-stokes,art nouveau (modern),30
marie-bashkirtseff,realism,23
marie-bracquemond,impressionism,19
marie-denise-villers,neoclassicism,5
marie-gabrielle-capet-0,neoclassicism,17
marie-guillemine-benoist,neoclassicism,11
marie-laurencin,expressionism,23
marie-therese-auffray,expressionism,7
marietta-robusti,mannerism (late renaissance),6
marin-gherasim,expressionism,6
marino-marini,expressionism,5
marinus-van-reymerswaele,northern renaissance,2
mario-ballocco,art informel,10
mario-cesariny,surrealism,11
mario-comensoli,expressionism,5
mario-eloy,expressionism,13
mario-nuzzi,baroque,3
mario-prassinos,art informel,22
mario-schifano,art informel,29
mario-sironi,cubism,8
mario-zanini,post-impressionism,8
mariojose-angeles,abstract expressionism,5
mariotto-albertinelli,high renaissance,25
marjorie-acker-phillips,impressionism,13
marjorie-strider,pop art,31
mark-lancaster,abstract expressionism,11
mark-rothko,color field painting,103
mark-sibley,abstract art,10
mark-tobey,abstract expressionism,78
marko-pogacnik,pop art,5
marsden-hartley,expressionism,10
martha-boto,abstract art,4
martha-diamond,neo-expressionism,10
martial-raysse,pop art,6
martin-barre,minimalism,21
martin-chirino,abstract expressionism,3
martin-creed,minimalism,7
martin-disler,neo-expressionism,17
martin-johnson-heade,romanticism,17
martin-kippenberger,neo-expressionism,12
martin-kober,mannerism (late renaissance),15
martin-rico,impressionism,60
martin-schongauer,northern renaissance,61
martin-yeoman,contemporary realism,21
martiros-sarian,expressionism,293
martyl-langsdorf,expressionism,5
maruja-mallo,surrealism,5
mary-beale,baroque,27
mary-cassatt,impressionism,267
mary-fedden,naïve art (primitivism),67
mary-josephine-walters,romanticism,7
masaccio,early renaissance,25
master-of-the-small-landscapes,northern renaissance,43
masud-dalhar,realism,8
matej-sternen,impressionism,14
mathias-goeritz,abstract expressionism,4
matsutani,art informel,14
matthew-smith,fauvism,16
matthias-grunewald,northern renaissance,109
matthias-stom,baroque,5
mattia-preti,baroque,23
maurice-boitel,impressionism,17
maurice-bompard,impressionism,7
maurice-braun,impressionism,13
maurice-de-vlaminck,post-impressionism,36
maurice-denis,post-impressionism,45
maurice-esteve,art informel,64
maurice-prendergast,post-impressionism,246
maurice-quentin-de-la-tour,rococo,146
maurice-sendak,naïve art (primitivism),10
maurice-utrillo,post-impressionism,153
mauricio-paz-viola,abstract art,1
maurycy-gottlieb,romanticism,18
max-beckmann,expressionism,58
max-bill,expressionism,1
max-ernst,surrealism,308
max-gubler,expressionism,24
max-jacob,expressionism,4
max-klinger,symbolism,7
max-kurzweil,art nouveau (modern),6
max-liebermann,impressionism,65
max-oppenheimer,expressionism,11
max-pechstein,expressionism,36
max-slevogt,impressionism,26
max-walter-svanberg,surrealism,12
max-weber,expressionism,16
maxfield-parrish,symbolism,16
maxim-keyfman,abstract art,5
maxim-vorobiev,romanticism,22
maxime-lalanne,realism,20
maxime-maufra,post-impressionism,120
maximilian-pirner,art nouveau (modern),16
maynard-dixon,impressionism,21
medi-wechsler-dinu,impressionism,13
meijer-de-haan,post-impressionism,9
mel-bochner,minimalism,1
